"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL63063";"";"None";"350.46";"0";"3.81";"5";"COc1cc2c(cc1OC)Cc1[nH]c3ccccc3c1CCN(C)CC2";"Activity";"'='";"-23.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL652514";"Displacement of muscimol from GABA-A receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1133101";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"-23.0"
"CHEMBL157109";"";"None";"344.71";"0";"2.12";"2";"O=C(OCc1ccco1)c1cnn2c1n[n+]([O-])c1ccc(Cl)cc12";"Ratio";"'='";"1.94";"";"";"";"";"";"";"";"";"";"0";"CHEMBL851285";"GABA ratio, relative binding in the presence and absence of 10 uM GABA (IC50-GABA/IC50+GABA)";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1135690";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"1.94"
"CHEMBL83043";"";"None";"444.94";"0";"4.43";"10";"Cc1nc2sc3c(c2c(N)c1C(=O)OCc1ccc(Cl)cc1)CCC1(C3)OCCO1";"IC50";"'='";"310.0";"nM";"6.51";"";"";"UO_0000065";"14.63";"0.30";"2.08";"7.78";"0";"CHEMBL681822";"Inhibition of [35S]t-butyl-phosphorothionate (TBPS) binding to Gamma-aminobutyric acid receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1128054";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"0.31"
"CHEMBL146284";"";"None";"358.78";"0";"3.03";"28 (table 7)";"COc1cc(CNC(=O)C(=O)c2c[nH]c3ccc(Cl)cc23)ccc1O";"Ki";"'='";"26.92";"nM";"7.57";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL858269";"The compound was tested for benzodiazepine receptor inverse agonist activity";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1132536";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"7.57"
"CHEMBL117531";"";"None";"330.47";"0";"3.50";"4";"CC(=O)[C@H]1CCC2C3CC4OC[C@@]5(CC[C@@H](O)C=C45)C3CC[C@@]21C";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"0";"CHEMBL679563";"GABA-induced 36Cl- influx in hamster cerebral cortex synaptoneurosomes at 0.1 uM";"F";"BAO_0000221";"tissue-based format";"Cricetulus griseus";"CHEMBL3559724";"Cerebral cortex";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1145885";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";""
"CHEMBL66487";"";"None";"239.27";"0";"2.83";"21";"CCOC(=O)c1cc2c(cn1)Cc1ccccc1-2";"IC50";"'='";"676.08";"nM";"6.17";"";"";"UO_0000065";"25.79";"0.47";"3.34";"15.74";"0";"CHEMBL650075";"Inhibition on Benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1130277";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";"";"6.17"
"CHEMBL12";"DIAZEPAM";"4.0";"284.75";"0";"3.15";"diazepam";"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21";"Ratio";"'='";"1.5";"";"";"";"";"";"";"";"";"";"0";"CHEMBL851285";"GABA ratio, relative binding in the presence and absence of 10 uM GABA (IC50-GABA/IC50+GABA)";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1135690";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"1.5"
"CHEMBL100454";"";"None";"328.44";"0";"2.62";"5";"CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL682643";"In vitro binding affinity for neuronal GABA-A receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1150510";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"10000.0"
"CHEMBL100454";"";"None";"328.44";"0";"2.62";"5";"CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1";"Ki";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL876081";"In vitro binding affinity for neuronal GABA-A benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1150510";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";"";"";"1000.0"
"CHEMBL28858";"";"None";"367.35";"0";"1.16";"38";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCOC(CN)C3)c(F)c21";"Currents";"'='";"94.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL682993";"Percentage of GABA-induced chloride currents with compound alone at 10 e-4 M";"F";"BAO_0000019";"assay format";"Bull Frog";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1126682";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"94.0"
"CHEMBL80609";"";"None";"286.29";"0";"3.19";"1t";"N#Cc1ccc2c(c1)ncn2-c1ccc2[nH]cc(C=O)c2c1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"26.97";"0.48";"4.53";"10.37";"0";"CHEMBL654251";"Binding affinity to the benzodiazepine receptor assayed using 0.5 nM [3H]flunitrazapam as radioligand in guinea pig cerebellum";"B";"BAO_0000221";"tissue-based format";"Cavia porcellus";"CHEMBL3638233";"Cerebellum";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1128050";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";"";"";"";"19.0"
"CHEMBL3322872";"";"None";"194.23";"0";"1.70";"11";"CCCCc1nc(N)ccc1C(=O)O";"Ki";"'='";"7079.46";"nM";"5.15";"";"";"UO_0000065";"26.51";"0.50";"3.45";"6.76";"0";"CHEMBL3370250";"Displacement of [3H]muscimol from GABAA receptor in SPRD rat brain synaptic membranes by scintillation counting method";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351648";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"5.15"
"CHEMBL3322870";"";"None";"152.15";"0";"0.67";"9";"Cc1nc(N)ccc1C(=O)O";"Ki";"'='";"1348.96";"nM";"5.87";"";"";"UO_0000065";"38.58";"0.73";"5.20";"7.70";"0";"CHEMBL3370250";"Displacement of [3H]muscimol from GABAA receptor in SPRD rat brain synaptic membranes by scintillation counting method";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351648";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"5.87"
"CHEMBL3322885";"";"None";"139.11";"0";"-0.24";"26";"Nc1ncc(C(=O)O)cn1";"Ki";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3370250";"Displacement of [3H]muscimol from GABAA receptor in SPRD rat brain synaptic membranes by scintillation counting method";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351648";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"100.0"
"CHEMBL5197770";"";"None";"509.43";"1";"4.61";"19";"CCOc1cc(CC(=O)OC(C)C)ccc1OCC(=O)N1CCN(c2cccc(Cl)c2Cl)CC1";"Inhibition";"'='";"35.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5133336";"Inhibition of GABAA receptor (unknown origin) at 50 uM by radioligand receptor binding assay relative to control";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL5131414";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2022";"None";"Dose = 50.0 microM";"";"";"35.9"
"CHEMBL3353730";"";"None";"355.41";"0";"2.58";"41";"CCCOC(=O)Cc1cc(F)c(OCC(=O)N(CC)CC)c(OC)c1";"Activity";"'='";"58.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"58.9"
"CHEMBL3354329";"";"None";"355.41";"0";"2.58";"52";"CCN(CC)C(=O)COc1cc(F)c(CC(=O)OC(C)C)cc1OC";"Activity";"'='";"48.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"48.3"
"CHEMBL3354331";"";"None";"409.38";"0";"3.12";"54";"CCN(CC)C(=O)COc1cc(F)c(CC(=O)OC(C)C(F)(F)F)cc1OC";"Activity";"'='";"66.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"66.7"
"CHEMBL3354333";"";"None";"369.43";"0";"2.97";"56";"CCCOC(=O)Cc1cc(OCC)c(OCC(=O)N(CC)CC)cc1F";"Activity";"'='";"78.4";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"78.4"
"CHEMBL3354335";"";"None";"409.38";"0";"3.12";"58";"CCOc1cc(CC(=O)OCC(F)(F)F)c(F)cc1OCC(=O)N(CC)CC";"Activity";"'='";"68.7";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"68.7"
"CHEMBL3410210";"";"None";"286.33";"0";"3.47";"9d";"Cc1ccc(C#Cc2ncn3c2COc2ccccc2-3)cc1";"Ki";"'>'";"3160.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3412491";"Displacement of [3H]flumazenil from rat cortex GABAA receptor BDZ binding site expressed in HEK293 cells by competition binding assay";"B";"BAO_0000219";"cell-based format";"Rattus norvegicus";"None";"None";"HEK293";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3407448";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3307715";"";"";"";"3160.0"
"CHEMBL329880";"";"None";"359.88";"0";"3.13";"11 (R-enantiomer)";"CCCC1(CCC)C(=O)OC[C@H]1NS(=O)(=O)c1ccc(Cl)cc1";"BA";"'='";"23.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL686131";"Gamma-aminobutyric acid A receptor modulating activity (expressed as biological activity).";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137847";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"23.0"
"CHEMBL3354343";"";"None";"369.43";"0";"2.97";"66";"CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OCC)c1F";"Activity";"'='";"15.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3378418";"Displacement of [3H]EBOB from GABAA receptor in Sprague-Dawley rat frontoparietal cortex membrane at 50 umol by liquid scintillation counting";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL3351378";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"15.2"
"CHEMBL299060";"";"None";"271.32";"0";"4.36";"29";"Cn1c2ccccc2c2c3[nH]c4ccccc4c3ncc21";"IC50";"'='";"1174.9";"nM";"5.93";"";"";"UO_0000065";"21.86";"0.39";"1.57";"17.64";"0";"CHEMBL650075";"Inhibition on Benzodiazepine receptor";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1130277";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";"";"5.93"
"CHEMBL545066";"";"None";"382.21";"0";"1.62";"28f";"Br.N=c1ccc(-c2ccc3c(c2)OCO3)nn1CCCC(=O)O";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"24.23";"0.45";"5.68";"7.49";"0";"CHEMBL681951";"Binding affinity in vivo for gamma-aminobutyric-acid A receptor measured by its ability to displace [3H]-GABA agonist from rat brain preparations after iv injection.";"B";"BAO_0000218";"organism-based format";"Bos taurus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1125342";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"50.0"
"CHEMBL348664";"";"None";"264.33";"0";"3.04";"Ro-202533";"CCc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2";"IC50";"'='";"27797132.68";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL650082";"Binding affinity towards benzodiazepine/GABA A receptor.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1128247";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"-1.556"
"CHEMBL88647";"";"None";"344.51";"0";"4.05";"18";"CC(C)(C)C1CSC(c2ccc(C#CC(=O)C=[N+]=[N-])cc2)SC1";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"17.88";"0.37";"2.11";"11.52";"0";"CHEMBL678039";"Inhibition of [3H]EBOB binding at GABA-gated chloride channel NCB site in bovine brain membranes";"B";"BAO_0000249";"cell membrane format";"Bos taurus";"None";"None";"None";"Brain membranes";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1127158";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1993";"None";"";"";"";"690.0"
"CHEMBL184734";"";"None";"460.35";"1";"7.29";"29";"CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1cccc(C(C)C)c1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL828448";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes; IA denotes inactive";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";""
"CHEMBL184176";"";"None";"468.07";"1";"5.11";"11";"CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1I";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"14.52";"0.44";"1.69";"15.50";"0";"CHEMBL832611";"In vitro insecticidal activity as inhibition of [3H]EBOB binding to Gamma-aminobutyric acid GABA-A receptor of housefly neuronal membranes";"B";"BAO_0000019";"assay format";"Musca domestica";"None";"None";"None";"None";"";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"Homo sapiens";"PROTEIN COMPLEX GROUP";"CHEMBL1137880";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"160.0"
