"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4062225";"";"None";"351.37";"0";"3.25";"7; KRM-II-81";"C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3cnco3)ncn1-2";"FC";"'='";"0.66";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4403724";"Binding affinity to GABA-A alpha2 (unknown origin) assessed as increase in induced current relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402545";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"0.66"
"CHEMBL146488";"";"None";"362.37";"0";"2.59";"34";"Oc1nc2c(c3nc(-c4ccccc4F)cn13)CN(c1ncccn1)CC2";"EC50";"'='";"84.0";"nM";"7.08";"";"";"UO_0000065";"19.53";"0.36";"4.49";"8.91";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"84.0"
"CHEMBL52030";"";"None";"341.37";"0";"2.35";"33; L-655708";"CCOC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1cc(OC)ccc1-2";"Ki";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"22.76";"0.42";"5.42";"10.55";"0";"CHEMBL4403717";"Binding affinity to GABA-A alpha2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402545";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";"17.0"
"CHEMBL147842";"";"None";"406.39";"0";"3.58";"37";"O=C(c1ccc(F)cc1)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1";"EC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"17.86";"0.33";"3.68";"10.26";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"55.0"
"CHEMBL1681893";"";"None";"424.33";"1";"6.19";"9";"Clc1ccc(-n2nc3c4c(ncc3c2OCc2cccc(Cl)c2)CCCC4)cc1";"Efficacy";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1687496";"Agonist activity at recombinant GABAA receptor subunit alpha-2 expressed in CHO cells at 3 uM by sensitive fluorometric read-out assay relative to midazolam";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681636";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";"";"50.0"
"CHEMBL1681885";"";"None";"349.82";"1";"5.02";"14";"Clc1ccc(-n2nc3c(cnc4ccccc43)c2OCC2CC2)cc1";"Efficacy";"'='";"36.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1687496";"Agonist activity at recombinant GABAA receptor subunit alpha-2 expressed in CHO cells at 3 uM by sensitive fluorometric read-out assay relative to midazolam";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681636";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";"";"36.0"
"CHEMBL509197";"";"None";"268.32";"0";"3.67";"87e";"CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc12";"Ki";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"29.16";"0.53";"4.15";"14.23";"0";"CHEMBL5235568";"Binding affinity to human recombinant GABAA alpha2 receptor assessed as inhibition constant incubated for 1 hrs by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233266";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"15.0"
"CHEMBL1270841";"";"None";"316.36";"0";"4.63";"97";"CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc12)c1ccccc1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"18.97";"0.34";"1.37";"10.91";"0";"CHEMBL5235568";"Binding affinity to human recombinant GABAA alpha2 receptor assessed as inhibition constant incubated for 1 hrs by liquid scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233266";"1";"Scientific Literature";"J Med Chem";"2021";"None";"TIME = 1.0 hr";"INHIBITOR";"";"1000.0"
"CHEMBL358874";"";"None";"364.38";"0";"2.52";"44";"Oc1nc2c(c3nc(-c4ccccc4F)cn13)CN(Cc1c[nH]cn1)CC2";"Activity";"'='";"58.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"58.0"
"CHEMBL147590";"";"None";"424.38";"0";"3.72";"38";"O=C(c1ccc(F)c(F)c1)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1";"Activity";"'='";"59.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"59.0"
"CHEMBL4759403";"";"None";"335.37";"0";"2.92";"9";"O=C1COc2cc(Nc3cc4c(cn3)ncn4CC3CC3)ccc2N1";"Efficacy";"'='";"32.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"32.0"
"CHEMBL4753738";"";"None";"385.37";"0";"3.53";"14";"CN1C(=O)C(F)(F)Oc2cc(Nc3cc4c(cn3)ncn4CC3CC3)ccc21";"Efficacy";"'='";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"1.0"
"CHEMBL4776208";"";"None";"319.37";"0";"4.03";"7";"Cc1nc2cc(Nc3cc4c(cn3)ncn4CC3CC3)ccc2o1";"Efficacy";"'='";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"10.0"
"CHEMBL4747220";"";"None";"345.41";"0";"3.47";"31";"Cc1cc(Nc2ccc(-n3ccnc3)nc2)nc2c1ncn2CC1CC1";"Efficacy";"'='";"4.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"4.0"
"CHEMBL4785208";"";"None";"345.41";"0";"3.47";"32";"Cc1cc(Nc2ccc(-n3ccnc3)cn2)nc2c1ncn2CC1CC1";"Efficacy";"'='";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"1.0"
"CHEMBL4754539";"";"None";"363.40";"0";"3.61";"34";"Cc1c(F)c(Nc2ccc(-n3ccnc3)nc2)nc2c1ncn2CC1CC1";"Efficacy";"'='";"17.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"17.0"
"CHEMBL4760815";"";"None";"349.39";"0";"2.94";"10";"CN1C(=O)COc2ccc(Nc3cc4c(cn3)ncn4CC3CC3)cc21";"Efficacy";"'='";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"10.0"
"CHEMBL1681900";"";"None";"353.85";"0";"4.74";"17";"Clc1ccc(-n2nc3c4c(ncc3c2OCC2CC2)CCCC4)cc1";"IC50";"'='";"185.0";"nM";"6.73";"";"";"UO_0000065";"19.03";"0.37";"1.99";"16.86";"0";"CHEMBL1687498";"Displacement of [3H]flumazenil from GABAA receptor subunit alpha-2 expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1681636";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";"";"185.0"
"CHEMBL343471";"";"None";"402.43";"0";"3.75";"40";"Cc1ccc(C(=O)N2CCc3nc(O)n4cc(-c5ccccc5F)nc4c3C2)cc1";"EC50";"'='";"327.0";"nM";"6.49";"";"";"UO_0000065";"16.12";"0.30";"2.74";"9.17";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"327.0"
"CHEMBL661";"ALPRAZOLAM";"4.0";"308.77";"0";"3.58";"Alprazolam";"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2";"EC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"25.65";"0.49";"4.34";"18.39";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"12.0"
"CHEMBL147312";"";"None";"370.46";"0";"3.97";"18";"Cc1ccc(-c2cn3c(O)nc4c(c3n2)CN(Cc2ccccc2)CC4)cc1";"EC50";"'='";"1179.0";"nM";"5.93";"";"";"UO_0000065";"16.00";"0.29";"1.96";"11.05";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"1179.0"
"CHEMBL148044";"";"None";"374.42";"0";"3.80";"12";"Oc1nc2c(c3nc(-c4ccc(F)cc4)cn13)CN(Cc1ccccc1)CC2";"Activity";"'='";"155.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL678888";"Maximum percent potentiation against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"155.0"
"CHEMBL4585261";"";"None";"321.38";"0";"3.54";"6";"CC(=O)Nc1cccc(Nc2cc3c(cn2)ncn3CC2CC2)c1";"Efficacy";"'='";"11.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"11.0"
"CHEMBL4785991";"";"None";"365.40";"0";"2.04";"23";"Cc1nc(Nc2cnc3c(c2)OCC(=O)N3C)nc2c1ncn2CC1CC1";"Efficacy";"'='";"9.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"9.0"
"CHEMBL4746471";"";"None";"433.39";"0";"3.84";"24";"CN1C(=O)COc2cc(Nc3cc4c(cc3OC(F)(F)F)ncn4CC3CC3)cnc21";"Efficacy";"'='";"16.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4701825";"Negative allosteric modulation of recombinant human GABA-A alpha2 expressed in HEK293 cells assessed as reduction in GABA-induced current at 1 uM relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4699487";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"Dose = 1.0 microM";"";"";"16.0"
"CHEMBL146317";"";"None";"418.43";"0";"3.45";"41";"COc1ccc(C(=O)N2CCc3nc(O)n4cc(-c5ccccc5F)nc4c3C2)cc1";"EC50";"'='";"383.0";"nM";"6.42";"";"";"UO_0000065";"15.34";"0.28";"2.97";"8.03";"0";"CHEMBL678889";"Effective concentration against gamma-aminobutyric acid (GABA) A receptor, alpha 2";"B";"BAO_0000357";"single protein format";"Xenopus laevis";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135642";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"383.0"
"CHEMBL1270841";"";"None";"316.36";"0";"4.63";"97";"CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc12)c1ccccc1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5235574";"Inhibition of human recombinant GABAA alpha2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233266";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"";"";"1.0"
"CHEMBL5281056";"";"None";"258.28";"0";"3.75";"102";"c1ccc2c(c1)[nH]c1cnc3c4ccncc4[nH]c3c12";"IC50";"'='";"24.0";"nM";"7.62";"";"";"UO_0000065";"29.50";"0.52";"3.87";"13.28";"0";"CHEMBL5235583";"Inhibition of GABAA alpha2 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4956";"GABA receptor alpha-2 subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5233266";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"INHIBITOR";"";"24.0"
