Compound,Smiles,Interaction
clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1
diazepam,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1
zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1
darigabat,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1
ganaxolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,1
indiplon,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,1
[3H]zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,1
etazolate,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1
amitriptyline,CN(CCC=C1c2ccccc2CCc2c1cccc2)C,0
(+)-butaclamol,OC1(CCN2C(C1)c1cccc3c1C(C2)c1ccccc1CC3)C(C)(C)C,0
apomorphine,CN1CCc2c3C1Cc1ccc(c(c1c3ccc2)O)O,0
sarpogrelate,COc1cccc(c1)CCc1ccccc1OCC(OC(=O)CCC(=O)O)CN(C)C,0
compound 3 [PMID: 23134120],Oc1cccc(c1)CCN(CC1CC1)CCc1ccccc1,0
CP94253,CCCOc1ccc2c(n1)c(c[nH]2)C1=CCNCC1,0
pipotiazine,OCCC1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,0
BP 897,COc1ccccc1N1CCN(CC1)CCCCNC(=O)c1ccc2c(c1)cccc2,0
glemanserin,OC(c1ccccc1)C1CCN(CC1)CCc1ccccc1,0
(+)-AJ76,CCCNC1CCc2c(C1C)cccc2OC,0
[125I]GTI,NCCc1c[nH]c2c1cc(OCC(=O)NCC(=O)NC(C(=O)N)Cc1ccc(c(c1)I)O)cc2,0
ketanserin,Fc1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=O)[nH]c2c(c1=O)cccc2,0
U92016A,CCCN(C1CCc2c(C1)c1cc([nH]c1cc2)C#N)CCC,0
sumanirole,CNC1Cc2cccc3c2n(C1)c(=O)[nH]3,0
flesinoxan,OCC1COc2c(O1)cccc2N1CCN(CC1)CCNC(=O)c1ccc(cc1)F,0
ergometrine,OCC(NC(=O)C1CN(C)C2C(=C1)c1cccc3c1c(C2)c[nH]3)C,0
A77636,NCC1OC(Cc2c1ccc(c2O)O)C12CC3CC(C2)CC(C1)C3,0
RS-30199,CN1CCc2c3C(C1)CCCc3ccc2Cl,0
LY320954,CCCc1c(COc2ccc(cc2)C=NN=C(N)N)ccc(c1O)C(=O)CC,0
metoclopramide,CCN(CCNC(=O)c1cc(Cl)c(cc1OC)N)CC,0
cabergoline,C=CCN1CC(CC2C1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C,0
naratriptan,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CCN(CC1)C,0
[3H]raclopride,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(c1OC)Cl,0
oxymetazoline,Cc1cc(c(c(c1CC1=NCCN1)C)O)C(C)(C)C,0
"[3H]GR 125,743",COc1ccc(cc1N1CCN(CC1)C)NC(=O)c1ccc(c(c1)C)c1ccncc1,0
CP-293019,Fc1ccc(cc1)OCC1CCC2N(C1)CCN(C2)c1ncc(cn1)F,0
MPDT,COc1ccc2c(c1)c(CCN(C)C)c([nH]2)c1ccccc1,0
sumatriptan,CNS(=O)(=O)Cc1ccc2c(c1)c(CCN(C)C)c[nH]2,0
capeserod,Nc1c(Cl)cc(c2c1OCCO2)c1nn(c(=O)o1)C1CCN(CC1)CCc1ccccc1,0
WAY-163909,C1CC2C(C1)c1c3N2CCNCc3ccc1,0
[3H]SCH-23390,CN1CCc2c(C(C1)c1ccccc1)cc(c(c2)Cl)O,0
EGIS-11150,Fc1ccc2c(c1)onc2C1CCN(CC1)CCNc1cnn(c(=O)c1Cl)C,0
LY3154885,OC[C@H]1Cc2c([C@@H](N1C(=O)Cc1c(Cl)cccc1Cl)C)cccc2c1cnn(c1)C,0
(-)-norfenfluramine,CC(Cc1cccc(c1)C(F)(F)F)N,0
[125I]DOI,COc1cc(I)c(cc1CC(N)C)OC,0
metopimazine,NC(=O)C1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)C,0
quinpirole,CCCN1CCCC2C1Cc1cn[nH]c1C2,0
A68930,NCC1OC(Cc2c1ccc(c2O)O)c1ccccc1,0
5-CT,NCCc1c[nH]c2c1cc(cc2)C(=O)N,0
LY334370,CN1CCC(CC1)c1c[nH]c2c1cc(cc2)NC(=O)c1ccc(cc1)F,0
tryptamine,NCCc1c[nH]c2c1cccc2,0
ORG-37684,COc1ccc2c(c1OC1CNCC1)CCC2,0
haloperidol,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,0
fluspirilene,Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,0
(+)-UH232,CCCN(C1C=Cc2c(C1C)cccc2OC)CCC,0
NGB 2904,O=C(c1ccc2c(c1)Cc1c2cccc1)NCCCCN1CCN(CC1)c1cccc(c1Cl)Cl,0
