Bit,Description,SMARTS
SubFP24,Primary aliph amine,"[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
SubFP25,Secondary aliph amine,"[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
SubFP26,Tertiary aliph amine,"[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
SubFP27,Quaternary aliph ammonium,"[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
SubFP28,Primary arom amine,"[NX3H2+0,NX4H3+]c"
SubFP29,Secondary arom amine,"[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
SubFP30,Tertiary arom amine,"[NX3H0+0,NX4H1+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
SubFP31,Quaternary arom ammonium,"[NX4H0+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
SubFP32,Secondary mixed amine,"[NX3H1+0,NX4H2+;$([N]([c])[C]);!$([N]*~[#7,#8,#15,#16])]"
SubFP33,Tertiary mixed amine,"[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])]"
SubFP34,Quaternary mixed ammonium,"[NX4H0+;$([N]([c])([C])[#6][#6]);!$([N]*~[#7,#8,#15,#16])]"
SubFP35,Ammonium,"[N+;!$([N]~[!#6]);!$(N=*);!$([N]*~[#7,#8,#15,#16])]"
SubFP36,Alkylthiol,"[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])]"
SubFP37,Dialkylthioether,"[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])]"
SubFP38,Alkylarylthioether,"[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])]"
SubFP39,Disulfide,[SX2D2][SX2D2]
SubFP40,"1,2-Aminoalcohol","[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])]"
SubFP41,"1,2-Diol","[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H]"
SubFP42,"1,1-Diol","[OX2H][CX4;!$(C([OX2H])([OX2H])[O,S,#7,#15])][OX2H]"
SubFP43,Hydroperoxide,[OX2H][OX2]
SubFP44,Peroxo,[OX2D2][OX2D2]
SubFP45,Organolithium compounds,"[LiX1][#6,#14]"
SubFP46,Organomagnesium compounds,"[MgX2][#6,#14]"
SubFP47,Organometallic compounds,[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#33;!#34;!#35;!#52;!#53;!#85]~[#6;!-]
SubFP48,Aldehyde,"[$([CX3H][#6]),$([CX3H2])]=[OX1]"
SubFP49,Ketone,[#6][CX3](=[OX1])[#6]
SubFP50,Thioaldehyde,"[$([CX3H][#6]),$([CX3H2])]=[SX1]"
SubFP51,Thioketone,[#6][CX3](=[SX1])[#6]
SubFP52,Imine,"[NX2;$([N][#6]),$([NH]);!$([N][CX3]=[#7,#8,#15,#16])]=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])]"
SubFP53,Immonium,"[NX3+;!$([N][!#6]);!$([N][CX3]=[#7,#8,#15,#16])]"
SubFP54,Oxime,"[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2H]"
SubFP55,Oximether,"[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2][#6;!$(C=[#7,#8])]"
SubFP56,Acetal,"[OX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]"
SubFP57,Hemiacetal,"[OX2H][CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]"
SubFP58,Aminal,"[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][NX3v3;!$(NC=[#7,#8,#15,#16])][#6]"
SubFP59,Hemiaminal,"[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][OX2H]"
SubFP60,Thioacetal,"[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][SX2][#6;!$(C=[O,S,N])]"
SubFP61,Thiohemiacetal,"[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][OX2H]"
SubFP62,Halogen acetal like,"[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1]"
SubFP63,Acetal like,"[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]"
SubFP64,Halogenmethylen ester and similar,"[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1]"
SubFP65,NOS methylen ester and similar,"[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]"
SubFP66,Hetero methylen ester and similar,"[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]"
SubFP67,Cyanhydrine,"[NX1]#[CX2][CX4;$([CH2]),$([CH]([CX2])[#6]),$(C([CX2])([#6])[#6])][OX2H]"
SubFP68,Chloroalkene,[ClX1][CX3]=[CX3]
SubFP69,Fluoroalkene,[FX1][CX3]=[CX3]
SubFP70,Bromoalkene,[BrX1][CX3]=[CX3]
SubFP71,Iodoalkene,[IX1][CX3]=[CX3]
SubFP72,Enol,"[OX2H][CX3;$([H1]),$(C[#6])]=[CX3]"
SubFP73,Endiol,"[OX2H][CX3;$([H1]),$(C[#6])]=[CX3;$([H1]),$(C[#6])][OX2H]"
SubFP74,Enolether,"[OX2]([#6;!$(C=[N,O,S])])[CX3;$([H0][#6]),$([H1])]=[CX3]"
SubFP75,Enolester,"[OX2]([CX3]=[OX1])[#6X3;$([#6][#6]),$([H1])]=[#6X3;!$(C[OX2H])]"
SubFP76,Enamine,"[NX3;$([NH2][CX3]),$([NH1]([CX3])[#6]),$([N]([CX3])([#6])[#6]);!$([N]*=[#7,#8,#15,#16])][CX3;$([CH]),$([C][#6])]=[CX3]"
SubFP77,Thioenol,"[SX2H][CX3;$([H1]),$(C[#6])]=[CX3]"
SubFP78,Thioenolether,"[SX2]([#6;!$(C=[N,O,S])])[CX3;$(C[#6]),$([CH])]=[CX3]"
SubFP79,Acylchloride,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[ClX1]"
SubFP80,Acylfluoride,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1]"
SubFP81,Acylbromide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[BrX1]"
SubFP82,Acyliodide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[IX1]"
SubFP83,Acylhalide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1,ClX1,BrX1,IX1]"
SubFP84,Carboxylic acid,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-])]"
SubFP85,Carboxylic ester,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])]"
SubFP86,Lactone,"[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]"
SubFP87,Carboxylic anhydride,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#8X2][CX3;$([H0][#6]),$([H1])](=[OX1])"
SubFP88,Carboxylic acid derivative,"[$([#6X3H0][#6]),$([#6X3H])](=[!#6])[!#6]"
SubFP89,Carbothioic acid,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[OX1])[$([SX2H]),$([SX1-])]),$([C](=[SX1])[$([OX2H]),$([OX1-])])]"
SubFP90,Carbothioic S ester,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2][#6;!$(C=[O,N,S])]"
SubFP91,Carbothioic S lactone,"[#6][#6X3R](=[OX1])[#16X2][#6;!$(C=[O,N,S])]"
SubFP92,Carbothioic O ester,"[CX3;$([H0][#6]),$([H1])](=[SX1])[OX2][#6;!$(C=[O,N,S])]"
SubFP93,Carbothioic O lactone,"[#6][#6X3R](=[SX1])[#8X2][#6;!$(C=[O,N,S])]"
SubFP94,Carbothioic halide,"[CX3;$([H0][#6]),$([H1])](=[SX1])[FX1,ClX1,BrX1,IX1]"
SubFP95,Carbodithioic acid,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2H])]"
SubFP96,Carbodithioic ester,"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2][#6;!$(C=[O,N,S])])]"
SubFP97,Carbodithiolactone,"[#6][#6X3R](=[SX1])[#16X2][#6;!$(C=[O,N,S])]"
SubFP98,Amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP99,Primary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2]"
SubFP100,Secondary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H1][#6;!$(C=[O,N,S])]"
SubFP101,Tertiary amide,"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])]"
SubFP102,Lactam,"[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP103,Alkyl imide,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])"
SubFP104,N hetero imide,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([!#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])"
SubFP105,Imide acidic,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H1][#6X3;$([H0][#6]),$([H1])](=[OX1])"
SubFP106,Thioamide,"[$([CX3;!R][#6]),$([CX3H;!R])](=[SX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP107,Thiolactam,"[#6R][#6X3R](=[SX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP108,Oximester,"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#8X2][#7X2]=,:[#6X3;$([H0]([#6])[#6]),$([H1][#6]),$([H2])]"
SubFP109,Amidine,"[NX3;!$(NC=[O,S])][CX3;$([CH]),$([C][#6])]=[NX2;!$(NC=[O,S])]"
SubFP110,Hydroxamic acid,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]"
SubFP111,Hydroxamic acid ester,"[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][OX2][#6;!$(C=[O,N,S])]"
SubFP112,Imidoacid,"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]"
SubFP113,Imidoacid cyclic,"[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]"
SubFP114,Imidoester,"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]"
SubFP115,Imidolactone,"[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]"
SubFP116,Imidothioacid,"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([SX2H]),$([SX1-])]"
SubFP117,Imidothioacid cyclic,"[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([SX2H]),$([SX1-])]"
SubFP118,Imidothioester,"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[SX2][#6;!$(C=[O,N,S])]"
SubFP119,Imidothiolactone,"[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[SX2][#6;!$(C=[O,N,S])]"
SubFP120,Amidine,"[#7X3v3;!$(N([#6X3]=[#7X2])C=[O,S])][CX3R0;$([H1]),$([H0][#6])]=[NX2v3;!$(N(=[#6X3][#7X3])C=[O,S])]"
SubFP121,Imidolactam,"[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]"
SubFP122,Imidoylhalide,"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]"
SubFP123,Imidoylhalide cyclic,"[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]"
SubFP124,Amidrazone,"[$([$([#6X3][#6]),$([#6X3H])](=[#7X2v3])[#7X3v3][#7X3v3]),$([$([#6X3][#6]),$([#6X3H])]([#7X3v3])=[#7X2v3][#7X3v3])]"
SubFP125,Alpha aminoacid,"[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[OX2H,OX1-]"
SubFP126,Alpha hydroxyacid,"[OX2H][C][CX3](=[OX1])[OX2H,OX1-]"
SubFP127,Peptide middle,"[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]"
SubFP128,Peptide C term,"[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[OX2H,OX1-]"
SubFP129,Peptide N term,"[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]"
SubFP130,Carboxylic orthoester,"[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6]"
SubFP131,Ketene,[CX3]=[CX2]=[OX1]
SubFP132,Ketenacetal,"[#7X2,#8X3,#16X2;$(*[#6,#14])][#6X3]([#7X2,#8X3,#16X2;$(*[#6,#14])])=[#6X3]"
SubFP133,Nitrile,[NX1]#[CX2]
SubFP134,Isonitrile,[CX1-]#[NX2+]
SubFP135,Vinylogous carbonyl or carboxyl derivative,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I]"
SubFP136,Vinylogous acid,"[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])]"
SubFP137,Vinylogous ester,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#6;!$(C=[O,N,S])]"
SubFP138,Vinylogous amide,"[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP139,Vinylogous halide,"[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1]"
SubFP140,Carbonic acid dieester,"[#6;!$(C=[O,N,S])][#8X2][#6X3](=[OX1])[#8X2][#6;!$(C=[O,N,S])]"
SubFP141,Carbonic acid esterhalide,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[OX2][FX1,ClX1,BrX1,IX1]"
SubFP142,Carbonic acid monoester,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[$([OX2H]),$([OX1-])]"
SubFP143,Carbonic acid derivatives,[!#6][#6X3](=[!#6])[!#6]
SubFP144,Thiocarbonic acid dieester,"[#6;!$(C=[O,N,S])][#8X2][#6X3](=[SX1])[#8X2][#6;!$(C=[O,N,S])]"
SubFP145,Thiocarbonic acid esterhalide,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[OX2][FX1,ClX1,BrX1,IX1]"
SubFP146,Thiocarbonic acid monoester,"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[$([OX2H]),$([OX1-])]"
SubFP147,Urea,[#7X3;!$([#7][!#6])][#6X3](=[OX1])[#7X3;!$([#7][!#6])]
SubFP148,Thiourea,[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])]
SubFP149,Isourea,"[#7X2;!$([#7][!#6])]=,:[#6X3]([#8X2&!$([#8][!#6]),OX1-])[#7X3;!$([#7][!#6])]"
SubFP150,Isothiourea,"[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])]"
SubFP151,Guanidine,"[N;v3X3,v4X4+][CX3](=[N;v3X2,v4X3+])[N;v3X3,v4X4+]"
SubFP152,Carbaminic acid,"[NX3]C(=[OX1])[O;X2H,X1-]"
SubFP153,Urethan,[#7X3][#6](=[OX1])[#8X2][#6]
SubFP154,Biuret,[#7X3][#6](=[OX1])[#7X3][#6](=[OX1])[#7X3]
SubFP155,Semicarbazide,[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]
SubFP156,Carbazide,[#7X3][#7X3][#6X3]([#7X3][#7X3])=[OX1]
SubFP157,Semicarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]
SubFP158,Carbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[OX1]
SubFP159,Thiosemicarbazide,[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]
SubFP160,Thiocarbazide,[#7X3][#7X3][#6X3]([#7X3][#7X3])=[SX1]
SubFP161,Thiosemicarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]
SubFP162,Thiocarbazone,[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[SX1]
SubFP163,Isocyanate,[NX2]=[CX2]=[OX1]
SubFP164,Cyanate,[OX2][CX2]#[NX1]
SubFP165,Isothiocyanate,[NX2]=[CX2]=[SX1]
SubFP166,Thiocyanate,[SX2][CX2]#[NX1]
SubFP167,Carbodiimide,[NX2]=[CX2]=[NX2]
SubFP168,Orthocarbonic derivatives,"[CX4H0]([O,S,#7])([O,S,#7])([O,S,#7])[O,S,#7,F,Cl,Br,I]"
SubFP169,Phenol,[OX2H][c]
SubFP170,"1,2-Diphenol",[OX2H][c][c][OX2H]
SubFP171,Arylchloride,[Cl][c]
SubFP172,Arylfluoride,[F][c]
SubFP173,Arylbromide,[Br][c]
SubFP174,Aryliodide,[I][c]
SubFP175,Arylthiol,[SX2H][c]
SubFP176,Iminoarene,"[c]=[NX2;$([H1]),$([H0][#6;!$([C]=[N,S,O])])]"
SubFP177,Oxoarene,[c]=[OX1]
SubFP178,Thioarene,[c]=[SX1]
SubFP179,Hetero N basic H,[nX3H1+0]
SubFP180,Hetero N basic no H,[nX3H0+0]
SubFP181,Hetero N nonbasic,"[nX2,nX3+]"
SubFP182,Hetero O,[o]
SubFP183,Hetero S,[sX2]
SubFP184,Heteroaromatic,[a;!c]
SubFP185,Nitrite,"[NX2](=[OX1])[O;$([X2]),$([X1-])]"
SubFP186,Thionitrite,[SX2][NX2]=[OX1]
SubFP187,Nitrate,"[$([NX3](=[OX1])(=[OX1])[O;$([X2]),$([X1-])]),$([NX3+]([OX1-])(=[OX1])[O;$([X2]),$([X1-])])]"
SubFP188,Nitro,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]"
SubFP189,Nitroso,[NX2](=[OX1])[!#7;!#8]
SubFP190,Azide,"[NX1]~[NX2]~[NX2,NX1]"
SubFP191,Acylazide,[CX3](=[OX1])[NX2]~[NX2]~[NX1]
SubFP192,Diazo,"[$([#6]=[NX2+]=[NX1-]),$([#6-]-[NX2+]#[NX1])]"
SubFP193,Diazonium,[#6][NX2+]#[NX1]
SubFP194,Nitrosamine,[#7;!$(N*=O)][NX2]=[OX1]
SubFP195,Nitrosamide,[NX2](=[OX1])N-*=O
SubFP196,N-Oxide,"[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])]"
SubFP197,Hydrazine,"[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])]"
SubFP198,Hydrazone,"[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX2]=[#6]"
SubFP199,Hydroxylamine,"[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][OX2;$([H1]),$(O[#6;!$(C=[N,O,S])])]"
SubFP200,Sulfon,"[$([SX4](=[OX1])(=[OX1])([#6])[#6]),$([SX4+2]([OX1-])([OX1-])([#6])[#6])]"
SubFP201,Sulfoxide,"[$([SX3](=[OX1])([#6])[#6]),$([SX3+]([OX1-])([#6])[#6])]"
SubFP202,Sulfonium,"[S+;!$([S]~[!#6]);!$([S]*~[#7,#8,#15,#16])]"
SubFP203,Sulfuric acid,"[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
SubFP204,Sulfuric monoester,"[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]"
SubFP205,Sulfuric diester,"[SX4](=[OX1])(=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP206,Sulfuric monoamide,"[SX4](=[OX1])(=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]"
SubFP207,Sulfuric diamide,"[SX4](=[OX1])(=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP208,Sulfuric esteramide,"[SX4](=[OX1])(=[OX1])([#7X3][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP209,Sulfuric derivative,[SX4D4](=[!#6])(=[!#6])([!#6])[!#6]
SubFP210,Sulfonic acid,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])]"
SubFP211,Sulfonamide,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP212,Sulfonic ester,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])]"
SubFP213,Sulfonic halide,"[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[FX1,ClX1,BrX1,IX1]"
SubFP214,Sulfonic derivative,"[SX4;$([H1]),$([H0][#6])](=[!#6])(=[!#6])[!#6]"
SubFP215,Sulfinic acid,"[SX3;$([H1]),$([H0][#6])](=[OX1])[$([OX2H]),$([OX1-])]"
SubFP216,Sulfinic amide,"[SX3;$([H1]),$([H0][#6])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP217,Sulfinic ester,"[SX3;$([H1]),$([H0][#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]"
SubFP218,Sulfinic halide,"[SX3;$([H1]),$([H0][#6])](=[OX1])[FX1,ClX1,BrX1,IX1]"
SubFP219,Sulfinic derivative,"[SX3;$([H1]),$([H0][#6])](=[!#6])[!#6]"
SubFP220,Sulfenic acid,"[SX2;$([H1]),$([H0][#6])][$([OX2H]),$([OX1-])]"
SubFP221,Sulfenic amide,"[SX2;$([H1]),$([H0][#6])][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP222,Sulfenic ester,"[SX2;$([H1]),$([H0][#6])][OX2][#6;!$(C=[O,N,S])]"
SubFP223,Sulfenic halide,"[SX2;$([H1]),$([H0][#6])][FX1,ClX1,BrX1,IX1]"
SubFP224,Sulfenic derivative,"[SX2;$([H1]),$([H0][#6])][!#6]"
